idx,n_sentences,uncertainty,factuality
62464,9,0.6959149556107453,1.0
49661,7,0.9577786855583911,0.7857142857142857
20483,9,0.6717590230193764,0.5
71174,9,0.8535695326980456,0.9444444444444444
39945,11,0.6781925767188733,0.45454545454545453
26126,11,0.7659036014107228,0.6363636363636364
61454,9,0.8659479289235201,1.0
37904,7,0.5749775084060404,0.35714285714285715
61460,8,0.59337420051952,0.4375
48151,9,0.9196733216516906,0.6666666666666666
71192,6,0.4868764317579386,0.25
17946,12,0.6883444603368559,0.3333333333333333
21020,7,0.671408839945197,0.7142857142857143
20508,10,0.6473194588424485,0.15
13854,9,0.7650988432093678,0.5
1060,7,0.8367367300198306,0.5714285714285714
72743,6,0.8987418868525462,0.9166666666666666
69672,5,0.4287425363707916,0.0
66602,7,0.6029866602750968,0.6428571428571429
2091,10,0.5883807196388988,0.25
35884,10,0.7537464428604426,0.55
56366,13,0.8406838027634308,0.8461538461538461
35887,5,0.6012013464204915,0.2
55347,6,0.8471913810629985,0.5
4147,9,0.8230057688180042,0.8333333333333334
30773,8,0.6689237670131347,1.0
30775,9,0.43390540847127945,0.1111111111111111
37431,9,0.5181244902062543,0.5555555555555556
32313,11,0.6968698773694397,0.18181818181818182
6716,8,0.7484501428664572,0.625
29757,8,0.860364768338114,0.9375
38973,10,0.7444891848924464,0.75
2115,8,0.6400497252145214,0.5625
40518,5,0.4886552524863146,1.0
57415,11,0.7553726375106387,0.5
67656,12,0.8252782492433303,1.0
25678,11,0.6242472680864839,0.4090909090909091
71246,9,0.7779738234015516,0.7777777777777778
44624,7,0.6790773944991347,0.2857142857142857
71249,7,0.5409087624539941,0.5714285714285714
22610,5,0.327902139936341,0.0
71763,10,0.8232665403553119,0.6
18516,9,0.28324962515899743,0.3333333333333333
5717,7,0.4334708048817122,0.9285714285714286
57437,11,0.8085847529792607,0.6363636363636364
20063,8,0.7628693220110818,1.0
7777,9,0.5085930876834406,0.5
30310,3,0.45553540735587983,0.0
37992,8,0.49071645074615167,0.1875
55400,9,0.6722212665543945,0.7222222222222222
60010,6,0.712187894528203,0.5
4716,6,0.7124925463007457,1.0
71276,5,0.14416279269862575,0.1
40559,8,0.44305281733286395,0.1875
51311,6,0.4333365945683908,0.16666666666666666
68722,10,0.7485664514911161,1.0
33396,8,0.780188599256175,1.0
58488,10,0.7646327854031096,0.4
38521,8,0.7203522057945222,1.0
8314,10,0.5794026215345832,0.55
23680,6,0.4816211912463283,0.25
3717,8,0.5770588280680329,0.3125
43142,6,0.38930117624452876,0.16666666666666666
15495,7,0.8048029392225837,0.7142857142857143
60552,7,0.690701025653537,0.6428571428571429
11911,12,0.7658827794737666,0.5416666666666666
2704,13,0.6419520080306816,1.0
28818,9,0.9576015092817304,0.8333333333333334
71314,10,0.6971959090126484,0.7
62614,10,0.8035948405911859,0.35
3222,9,0.8949568501951944,0.5555555555555556
69787,8,0.7249615371508014,0.3125
18078,6,0.2901931135294338,0.16666666666666666
65695,9,0.5194609994716151,0.7777777777777778
42656,5,0.16161132868379346,0.0
25758,9,0.7082918816910478,1.0
27811,7,0.9272270484385152,1.0
19109,9,0.6388690088845679,0.2222222222222222
3239,9,0.6710716310233895,0.4444444444444444
45225,6,0.9583849897685904,0.9166666666666666
11435,5,0.5628684029341822,0.4
55979,8,0.6705540183966718,0.375
51889,6,0.9150262273548985,0.5833333333333334
31928,7,0.39123631406712644,0.35714285714285715
9400,5,0.8104796567257836,0.9
35002,9,0.7855493612388627,0.8333333333333334
30904,5,0.7295932543839172,0.4
48317,8,0.8121398665128539,0.5
70846,6,0.7215019880573512,0.25
8381,7,0.7052160216320447,1.0
57024,6,0.7773656861374055,0.25
39621,10,0.6457781409271047,0.4
6346,9,0.5105754481082032,0.5555555555555556
60107,6,0.7756561585924753,0.5
57036,9,0.3913460367770969,0.16666666666666666
5325,8,0.865942061904309,0.9375
52943,6,0.7621380351832993,0.5833333333333334
33488,7,0.7632334869826731,0.35714285714285715
72402,8,0.7387425087270231,0.5625
52946,11,0.804684604381621,0.45454545454545453
4818,8,0.566039526490178,0.4375
29397,7,0.9491339381363949,0.7142857142857143
18134,6,0.622063071649533,0.08333333333333333
12507,6,0.4375053678328792,0.08333333333333333
22748,9,0.3622589435422823,0.16666666666666666
6367,12,0.6661968509251797,0.8333333333333334
20705,8,0.418772407993805,0.1875
37096,5,0.9291081263479009,0.3
29418,5,0.36006833025254303,0.1
8428,6,0.36260771241213663,0.16666666666666666
62188,11,0.7688594161179114,0.5909090909090909
33007,11,0.7982757999358341,1.0
51441,11,0.6260770611036812,0.4090909090909091
12018,5,0.5923227050018613,1.0
41203,8,0.6549977844260368,1.0
26871,7,0.6143744695221747,0.42857142857142855
10488,6,0.9399806486868443,0.8333333333333334
22780,8,0.5582599404277516,0.3125
12029,9,0.6876027300798417,0.8333333333333334
57088,10,0.7266578426297883,0.35
42240,8,0.4754416038527325,0.375
11524,10,0.7225454902744173,0.7
55558,11,0.8599747991101967,0.6818181818181818
37132,10,0.7621530978856436,0.8
32526,9,0.9420075363157353,0.8888888888888888
2831,13,0.8211574545111716,0.6538461538461539
65811,7,0.4747219469430872,0.07142857142857142
15637,8,0.6206720138793345,0.375
21787,7,0.8867088115192181,0.6428571428571429
49436,9,0.7637371573282381,1.0
2844,11,0.9567848012520709,0.6818181818181818
41247,4,0.587816799094378,0.25
1829,9,0.7919814536419026,0.8333333333333334
8485,10,0.7180447951138694,0.95
12582,4,0.3316344332303629,0.25
15143,4,0.6435842421969028,0.125
9514,8,0.889074694879389,0.625
51500,10,0.9551434326583808,0.6
7980,5,0.522809721637368,0.1
10550,5,0.5741247746693261,0.5
12606,7,0.6769022378249896,0.6428571428571429
64320,5,0.8193012501105295,0.8
33089,6,0.7140688238804462,0.16666666666666666
55616,7,0.8126326073109826,0.6428571428571429
67906,7,0.7586734459365678,0.6428571428571429
62276,5,0.5984637180445134,0.6
52549,8,0.43431906814512333,0.1875
4418,8,0.8379161821560388,0.75
70984,11,0.6421236932803616,0.36363636363636365
61771,10,0.7772370505209824,0.7
11088,6,0.9115870732614174,0.9166666666666666
14165,7,0.4731676118587237,0.07142857142857142
341,13,0.620416540634913,1.0
34133,9,0.6759292147893575,0.5
8024,7,0.7695342435892972,1.0
10582,11,0.5369046964985438,0.8636363636363636
859,9,0.8173672272246677,0.6666666666666666
18267,10,0.8628292131732065,0.85
7003,5,0.6300590261401885,0.4
21350,9,0.7051530593573565,0.6666666666666666
62823,5,0.7103037004032648,0.4
62313,5,0.9201836976599361,0.8
28011,11,0.7907394705892454,0.3181818181818182
16751,8,0.7313513460154695,0.8125
8049,8,0.6231678484488044,0.4375
72052,9,0.9035029600309372,1.0
41846,7,0.4422398273720838,0.0
55672,9,0.781031363711606,1.0
66940,8,0.81915716556626,1.0
40317,7,0.2650469216285273,0.0
20350,7,0.5543966191529242,0.35714285714285715
40833,5,0.7370552859331656,0.6
68994,4,0.8058863736048352,0.625
70530,7,0.7717280415365166,0.21428571428571427
10628,9,0.4947462116364275,0.2222222222222222
6535,7,0.17170414429690162,0.2857142857142857
394,5,0.46492118336818977,0.0
57740,8,0.5928025080064344,0.3125
71565,5,0.6732757587120431,0.5
49037,10,0.6587413020856434,0.4
17807,11,0.9230149391495264,1.0
59798,5,0.42723836327836584,0.2
37782,7,0.3214486047093358,0.0
6552,6,0.8961375286557427,1.0
22937,9,0.8372515383723592,1.0
50586,8,0.7721854330679718,0.875
28572,8,0.5712318625757675,0.75
42398,11,0.7978860494400619,0.6818181818181818
37793,10,0.47900327954752353,0.2
39842,5,0.8081433061362668,0.6
40866,7,0.6114287163471999,0.21428571428571427
4004,10,0.8347862454861399,0.7
30206,8,0.6811647170654738,0.625
1959,9,0.8252838267866398,0.5
43944,5,0.7676170197525062,0.5
72104,6,0.717149193853923,1.0
47532,8,0.8497216469063019,0.5625
5549,4,0.5091802798720891,0.125
38830,12,0.57140025880441,0.041666666666666664
63405,8,0.665589167388498,0.5625
35763,8,0.5531598449170361,0.3125
19892,7,0.570005610631087,0.0
21429,9,0.5330804385009842,0.7777777777777778
5045,10,0.7244426121196192,0.35
34231,8,0.7155213890650088,1.0
61367,8,0.46240261409961936,0.0
3513,10,0.768940528816529,0.45
13750,5,0.9296552714662403,0.9
46523,10,0.741988923651461,1.0
31676,8,0.8520569944693079,0.8125
36283,9,0.9315660395312344,0.6666666666666666
12733,8,0.5049521466273348,0.4375
41409,8,0.6494484755758094,0.1875
16835,7,0.563952241190834,0.5714285714285714
14278,10,0.7479627138939168,0.45
28103,5,0.645436644535348,0.6
54727,10,0.7288509074877538,0.35
20426,8,0.7134641597510694,0.6875
22475,9,0.8050286334340828,1.0
1484,12,0.7640011897265064,0.4166666666666667
38350,4,0.32828831190327035,0.0
4048,10,0.5891343154352716,0.3
39380,9,0.654033916622494,0.6666666666666666
71127,10,0.6247319688111974,0.55
71641,7,0.32232106107697156,0.07142857142857142
37338,5,0.6129505091618921,0.4
10714,10,0.6714506466907597,0.25
52703,8,0.711601693417046,0.375
18912,10,0.7314045385297823,0.55
70625,9,0.6128752008098571,1.0
44003,9,0.8472238028212915,0.5555555555555556
12773,6,0.8645784986274976,0.9166666666666666
15337,9,0.6610149488977817,0.3333333333333333
25585,7,0.8443242599879632,0.8571428571428571
10740,5,0.2650882900727447,0.0
41463,10,0.863824241431621,0.85
57341,10,0.8152327732813398,1.0
66046,9,0.6902874724854832,0.5555555555555556
